DATE,SHIFTS,MC GM-1,MC GM-2,MC GM-3,MC GM-4,MC GM-5,MC GM-6,MC NL-1,MC NL-2,Upcoming.
"31, Monday, Mar 2025",SHIFT-1,PUBLIC OFF,PUBLIC OFF,35131,PUBLIC OFF,36961,PUBLIC OFF,35680,PUBLIC OFF,FALSE
"31, Monday, Mar 2025",SHIFT-2,PUBLIC OFF,PUBLIC OFF,35131,PUBLIC OFF,36961,PUBLIC OFF,35680,PUBLIC OFF,FALSE
"31, Monday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,PUBLIC OFF,36961,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"01, Tuesday, Apr 2025",SHIFT-1,33901,36029,35131,36784,36961,35781,35680,35426,FALSE
"01, Tuesday, Apr 2025",SHIFT-2,33901,36029,35131,36784,36961,35781,35680,35426,FALSE
"01, Tuesday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,36961,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"02, Wednesday, Apr 2025",SHIFT-1,SIZE CHANGEOVER,SIZE CHANGEOVER,35131,36784,36961,35781,35680,35426,FALSE
"02, Wednesday, Apr 2025",SHIFT-2,SIZE CHANGEOVER,SIZE CHANGEOVER,35131,36784,36961,35781,35680,35426,FALSE
"02, Wednesday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,36961,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"03, Thursday, Apr 2025",SHIFT-1,35627,36749,35131,36784,SIZE CHANGEOVER,SIZE CHANGEOVER,35680,35426,FALSE
"03, Thursday, Apr 2025",SHIFT-2,35627,36749,35131,36784,SIZE CHANGEOVER,SIZE CHANGEOVER,35680,35426,FALSE
"03, Thursday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,SIZE CHANGEOVER,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"04, Friday, Apr 2025",SHIFT-1,35627,36749,35131,36784,37106,37049,35680,35426,FALSE
"04, Friday, Apr 2025",SHIFT-2,35627,36749,35131,36784,37106,37049,35680,35426,FALSE
